DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:55.397,13,3.80045,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.397,13,3.81214,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.397,13,3.8226,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.418,13,3.8226,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.418,13,3.83183,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.418,13,3.83983,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.418,13,3.84674,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.439,13,3.85234,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2055
Mon.May.02.2022 16:02:55.539,13,3.85234,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.539,13,3.8566,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.539,13,3.85954,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.539,13,3.86115,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.539,13,3.86143,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.559,13,3.86037,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.559,13,3.85799,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.559,13,3.85799,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.576,13,3.85429,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.576,13,3.84928,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.576,13,3.84295,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.576,13,3.83534,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2055
Mon.May.02.2022 16:02:55.597,13,3.82644,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,448,2056
Mon.May.02.2022 16:02:55.699,13,3.81627,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2055
Mon.May.02.2022 16:02:55.708,13,3.80485,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2055
Mon.May.02.2022 16:02:55.708,13,3.79227,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2055
Mon.May.02.2022 16:02:55.708,13,3.7787,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2055
